date	IEXE0101
1/2/2012	
1/3/2012	1.009
1/4/2012	1.0135
1/5/2012	1.0197
1/6/2012	1.0232
1/9/2012	1.0272
1/10/2012	1.0164
1/11/2012	1.0192
1/12/2012	1.0198
1/13/2012	1.0245
1/16/2012	1.017
1/17/2012	1.0132
1/18/2012	1.014
1/19/2012	1.0095
1/20/2012	1.0143
1/23/2012	1.008
1/24/2012	1.0097
1/25/2012	1.012
1/26/2012	0.9986
1/27/2012	1.0013
1/30/2012	1.0032
1/31/2012	1.0052
2/1/2012	0.9971
2/2/2012	0.9985
2/3/2012	0.9945
2/6/2012	0.9954
2/7/2012	0.9948
2/8/2012	0.997
2/9/2012	0.9941
2/10/2012	1.0016
2/13/2012	0.9996
2/14/2012	0.9991
2/15/2012	0.9965
2/16/2012	0.9962
2/17/2012	0.997
2/20/2012	0.9924
2/21/2012	0.9955
2/22/2012	1
2/23/2012	0.9985
2/24/2012	0.9988
2/27/2012	0.9983
2/28/2012	0.9956
2/29/2012	0.9866
3/1/2012	0.9849
3/2/2012	0.9888
3/5/2012	0.9936
3/6/2012	1.0015
3/7/2012	0.9993
3/8/2012	0.9921
3/9/2012	0.9895
3/12/2012	0.9935
3/13/2012	0.9905
3/14/2012	0.9915
3/15/2012	0.9929
3/16/2012	0.9914
3/19/2012	0.988
3/20/2012	0.9933
3/21/2012	0.9931
3/22/2012	1.0003
3/23/2012	0.9982
3/26/2012	0.9922
3/27/2012	0.9928
3/28/2012	0.9984
3/29/2012	0.9999
3/30/2012	0.9991
4/2/2012	0.9917
4/3/2012	0.991
4/4/2012	0.9962
4/5/2012	0.9928
4/6/2012	
4/9/2012	0.9972
4/10/2012	1.0028
4/11/2012	1.0039
4/12/2012	0.995
4/13/2012	0.9979
4/16/2012	1.0024
4/17/2012	0.9878
4/18/2012	0.9902
4/19/2012	0.9927
4/20/2012	0.9911
4/23/2012	0.9936
4/24/2012	0.9883
4/25/2012	0.9848
4/26/2012	0.9841
4/27/2012	0.9807
4/30/2012	0.9884
5/1/2012	0.9839
5/2/2012	0.9891
5/3/2012	0.9868
5/4/2012	0.9956
5/7/2012	0.9935
5/8/2012	0.9997
5/9/2012	1.0015
5/10/2012	1.0017
5/11/2012	0.9968
5/14/2012	1.0019
5/15/2012	1.0029
5/16/2012	1.0102
5/17/2012	1.0164
5/18/2012	1.021
5/21/2012	
5/22/2012	1.0191
5/23/2012	1.0275
5/24/2012	1.0275
5/25/2012	1.0285
5/28/2012	1.0241
5/29/2012	1.0253
5/30/2012	1.0286
5/31/2012	1.0349
6/1/2012	1.038
6/4/2012	1.0418
6/5/2012	1.0414
6/6/2012	1.0297
6/7/2012	1.0244
6/8/2012	1.0332
6/11/2012	1.0283
6/12/2012	1.0268
6/13/2012	1.027
6/14/2012	1.0247
6/15/2012	1.0244
6/18/2012	1.0266
6/19/2012	1.0178
6/20/2012	1.0194
6/21/2012	1.0251
6/22/2012	1.026
6/25/2012	1.0303
6/26/2012	1.0265
6/27/2012	1.0257
6/28/2012	1.0333
6/29/2012	1.0191
7/2/2012	
7/3/2012	1.0123
7/4/2012	1.0128
7/5/2012	1.0131
7/6/2012	1.0199
7/9/2012	1.0212
7/10/2012	1.0203
7/11/2012	1.0195
7/12/2012	1.0214
7/13/2012	1.0151
7/16/2012	1.0157
7/17/2012	1.0141
7/18/2012	1.0112
7/19/2012	1.0077
7/20/2012	1.0114
7/23/2012	1.0172
7/24/2012	1.0208
7/25/2012	1.0181
7/26/2012	1.0101
7/27/2012	1.006
7/30/2012	1.0033
7/31/2012	1.0014
8/1/2012	1.0017
8/2/2012	1.0062
8/3/2012	0.9986
8/6/2012	
8/7/2012	0.9964
8/8/2012	0.9947
8/9/2012	0.9924
8/10/2012	0.9916
8/13/2012	0.9933
8/14/2012	0.9914
8/15/2012	0.9891
8/16/2012	0.9881
8/17/2012	0.9885
8/20/2012	0.989
8/21/2012	0.9864
8/22/2012	0.9929
8/23/2012	0.9928
8/24/2012	0.992
8/27/2012	0.9892
8/28/2012	0.9864
8/29/2012	0.9875
8/30/2012	0.9926
8/31/2012	0.9863
9/3/2012	
9/4/2012	0.9863
9/5/2012	0.9902
9/6/2012	0.9825
9/7/2012	0.9778
9/10/2012	0.9762
9/11/2012	0.9724
9/12/2012	0.9757
9/13/2012	0.9753
9/14/2012	0.971
9/17/2012	0.9723
9/18/2012	0.9742
9/19/2012	0.9745
9/20/2012	0.9774
9/21/2012	0.9754
9/24/2012	0.9801
9/25/2012	0.977
9/26/2012	0.9842
9/27/2012	0.9814
9/28/2012	0.9837
10/1/2012	0.9827
10/2/2012	0.9829
10/3/2012	0.987
10/4/2012	0.9822
10/5/2012	0.9763
10/8/2012	
10/9/2012	0.9788
10/10/2012	0.9787
10/11/2012	0.9782
10/12/2012	0.9799
10/15/2012	0.9784
10/16/2012	0.9854
10/17/2012	0.9796
10/18/2012	0.9808
10/19/2012	0.9932
10/22/2012	0.9938
10/23/2012	0.9934
10/24/2012	0.9946
10/25/2012	0.9942
10/26/2012	0.999
10/29/2012	1.0004
10/30/2012	0.9994
10/31/2012	0.9996
11/1/2012	0.9973
11/2/2012	0.9964
11/5/2012	0.9965
11/6/2012	0.9936
11/7/2012	0.9972
11/8/2012	0.9986
11/9/2012	1.0006
11/12/2012	
11/13/2012	1.0016
11/14/2012	1.0018
11/15/2012	1.0025
11/16/2012	1.0028
11/19/2012	0.9964
11/20/2012	0.997
11/21/2012	0.998
11/22/2012	0.9974
11/23/2012	0.9927
11/26/2012	0.9949
11/27/2012	0.9936
11/28/2012	0.9929
11/29/2012	0.993
11/30/2012	0.9932
12/3/2012	0.9928
12/4/2012	0.9927
12/5/2012	0.9912
12/6/2012	0.991
12/7/2012	0.989
12/10/2012	0.9872
12/11/2012	0.9867
12/12/2012	0.9854
12/13/2012	0.9847
12/14/2012	0.986
12/17/2012	0.9841
12/18/2012	0.9854
12/19/2012	0.9868
12/20/2012	0.9883
12/21/2012	0.9942
12/24/2012	0.9913
12/25/2012	
12/26/2012	
12/27/2012	0.9949
12/28/2012	0.9952
12/31/2012	0.9949
	
ERRORS	
date	IEXE0101
1/2/2012	-64
4/6/2012	-64
5/21/2012	-64
7/2/2012	-64
8/6/2012	-64
9/3/2012	-64
10/8/2012	-64
11/12/2012	-64
12/25/2012	-64
12/26/2012	-64
